"소재지(시군구)별","교육과정별","시점","시설수[개]","면적[㎡]",
"전국","계","2013 년","12482","343931836",
"전국","계","2014 년","12622","346176792",
"전국","계","2015 년","12958","352754102",
"전국","계","2016 년","12981","353533291",
"전국","계","2017 년","12991","355613750",
"전국","계","2018 년","13090","356131720",
"전국","계","2019 년","13087","355092369",
"전국","계","2020 년","13085","353430056",
"전국","계","2021 년","13220","363023900",
"전국","계","2022 년","13292","365733522",
"전국","유치원","2013 년","379","734243",
"전국","유치원","2014 년","386","771297",
"전국","유치원","2015 년","431","704797",
"전국","유치원","2016 년","466","2353940",
"전국","유치원","2017 년","484","2433273",
"전국","유치원","2018 년","498","1123163",
"전국","유치원","2019 년","501","1139204",
"전국","유치원","2020 년","501","1161461",
"전국","유치원","2021 년","543","1332023",
"전국","유치원","2022 년","560","1394711",
"전국","초등학교","2013 년","6361","92953848",
"전국","초등학교","2014 년","6435","94087698",
"전국","초등학교","2015 년","6591","96223594",
"전국","초등학교","2016 년","6592","96357809",
"전국","초등학교","2017 년","6584","96102038",
"전국","초등학교","2018 년","6635","97163740",
"전국","초등학교","2019 년","6634","97105468",
"전국","초등학교","2020 년","6624","97062582",
"전국","초등학교","2021 년","6671","97726758",
"전국","초등학교","2022 년","6718","98480918",
"전국","중학교","2013 년","2778","49039929",
"전국","중학교","2014 년","2788","48750813",
"전국","중학교","2015 년","2865","49964475",
"전국","중학교","2016 년","2858","49872200",
"전국","중학교","2017 년","2863","49716263",
"전국","중학교","2018 년","2884","50336617",
"전국","중학교","2019 년","2882","50219281",
"전국","중학교","2020 년","2878","50063965",
"전국","중학교","2021 년","2898","50285358",
"전국","중학교","2022 년","2899","50294161",
"전국","고등학교","2013 년","2306","66866588",
"전국","고등학교","2014 년","2350","68147588",
"전국","고등학교","2015 년","2394","69046225",
"전국","고등학교","2016 년","2387","68336534",
"전국","고등학교","2017 년","2382","68588801",
"전국","고등학교","2018 년","2388","68407513",
"전국","고등학교","2019 년","2383","68116554",
"전국","고등학교","2020 년","2382","68213472",
"전국","고등학교","2021 년","2380","68151012",
"전국","고등학교","2022 년","2375","68186955",
"전국","특수학교","2013 년","114","2271387",
"전국","특수학교","2014 년","116","2283932",
"전국","특수학교","2015 년","114","2235752",
"전국","특수학교","2016 년","115","2282662",
"전국","특수학교","2017 년","115","2432370",
"전국","특수학교","2018 년","116","2450865",
"전국","특수학교","2019 년","116","2455549",
"전국","특수학교","2020 년","121","2509453",
"전국","특수학교","2021 년","124","2528149",
"전국","특수학교","2022 년","128","2758872",
"전국","대학(교)","2013 년","515","130960074",
"전국","대학(교)","2014 년","518","131104687",
"전국","대학(교)","2015 년","533","133540320",
"전국","대학(교)","2016 년","533","133291207",
"전국","대학(교)","2017 년","531","135187494",
"전국","대학(교)","2018 년","532","135368978",
"전국","대학(교)","2019 년","528","134581286",
"전국","대학(교)","2020 년","536","132944096",
"전국","대학(교)","2021 년","562","141536426",
"전국","대학(교)","2022 년","570","143150030",
"전국","각종학교","2013 년","29","1105767",
"전국","각종학교","2014 년","29","1030777",
"전국","각종학교","2015 년","30","1038939",
"전국","각종학교","2016 년","30","1038939",
"전국","각종학교","2017 년","32","1153511",
"전국","각종학교","2018 년","37","1280844",
