"[STCODE_11]시도별","시도별","[STCODE_12]설립주체별","설립주체별","[STCODE_13]학교현황별","학교현황별","시점","고등학교 개황",
"00","총계","A001","계","A_1","학교수","2013 년","2322",
"00","총계","A001","계","A_1","학교수","2014 년","2326",
"00","총계","A001","계","A_1","학교수","2015 년","2344",
"00","총계","A001","계","A_1","학교수","2016 년","2353",
"00","총계","A001","계","A_1","학교수","2017 년","2360",
"00","총계","A001","계","A_1","학교수","2018 년","2358",
"00","총계","A001","계","A_1","학교수","2019 년","2356",
"00","총계","A001","계","A_1","학교수","2020 년","2367",
"00","총계","A001","계","A_1","학교수","2021 년","2375",
"00","총계","A001","계","A_1","학교수","2022 년","2373",
"00","총계","A001","계","A_11","주야별","2017 년","2360",
"00","총계","A001","계","A_11","주야별","2018 년","2358",
"00","총계","A001","계","A_11","주야별","2019 년","2356",
"00","총계","A001","계","A_111","주간","2013 년","2310",
"00","총계","A001","계","A_111","주간","2014 년","2313",
"00","총계","A001","계","A_111","주간","2015 년","2331",
"00","총계","A001","계","A_111","주간","2016 년","2345",
"00","총계","A001","계","A_111","주간","2017 년","2353",
"00","총계","A001","계","A_111","주간","2018 년","2354",
"00","총계","A001","계","A_111","주간","2019 년","2354",
"00","총계","A001","계","A_111","주간","2020 년","2365",
"00","총계","A001","계","A_111","주간","2021 년","2375",
"00","총계","A001","계","A_111","주간","2022 년","2373",
"00","총계","A001","계","A_112","야간","2013 년","-",
"00","총계","A001","계","A_112","야간","2014 년","-",
"00","총계","A001","계","A_112","야간","2015 년","-",
"00","총계","A001","계","A_112","야간","2016 년","-",
"00","총계","A001","계","A_112","야간","2017 년","-",
"00","총계","A001","계","A_112","야간","2018 년","0",
"00","총계","A001","계","A_112","야간","2019 년","0",
"00","총계","A001","계","A_112","야간","2021 년","-",
"00","총계","A001","계","A_112","야간","2022 년","-",
"00","총계","A001","계","A_113","주야간","2013 년","12",
"00","총계","A001","계","A_113","주야간","2014 년","13",
"00","총계","A001","계","A_113","주야간","2015 년","13",
"00","총계","A001","계","A_113","주야간","2016 년","8",
"00","총계","A001","계","A_113","주야간","2017 년","7",
"00","총계","A001","계","A_113","주야간","2018 년","4",
"00","총계","A001","계","A_113","주야간","2019 년","2",
"00","총계","A001","계","A_113","주야간","2020 년","2",
"00","총계","A001","계","A_113","주야간","2021 년","-",
"00","총계","A001","계","A_113","주야간","2022 년","-",
"00","총계","A001","계","A_21","남여별","2017 년","2360",
"00","총계","A001","계","A_21","남여별","2018 년","2358",
"00","총계","A001","계","A_21","남여별","2019 년","2356",
"00","총계","A001","계","A_2","남자","2013 년","411",
"00","총계","A001","계","A_2","남자","2014 년","408",
"00","총계","A001","계","A_2","남자","2015 년","405",
"00","총계","A001","계","A_2","남자","2016 년","404",
"00","총계","A001","계","A_2","남자","2017 년","404",
"00","총계","A001","계","A_2","남자","2018 년","408",
"00","총계","A001","계","A_2","남자","2019 년","406",
"00","총계","A001","계","A_2","남자","2020 년","405",
"00","총계","A001","계","A_2","남자","2021 년","404",
"00","총계","A001","계","A_2","남자","2022 년","403",
"00","총계","A001","계","A_3","여자","2013 년","434",
"00","총계","A001","계","A_3","여자","2014 년","433",
"00","총계","A001","계","A_3","여자","2015 년","431",
"00","총계","A001","계","A_3","여자","2016 년","430",
"00","총계","A001","계","A_3","여자","2017 년","428",
"00","총계","A001","계","A_3","여자","2018 년","429",
"00","총계","A001","계","A_3","여자","2019 년","425",
"00","총계","A001","계","A_3","여자","2020 년","424",
"00","총계","A001","계","A_3","여자","2021 년","422",
"00","총계","A001","계","A_3","여자","2022 년","422",
"00","총계","A001","계","A_4","공학","2013 년","1477",
"00","총계","A001","계","A_4","공학","2014 년","1485",
"00","총계","A001","계","A_4","공학","2015 년","1508",
"00","총계","A001","계","A_4","공학","2016 년","1519",
"00","총계","A001","계","A_4","공학","2017 년","1528",
"00","총계","A001","계","A_4","공학","2018 년","1521",
"00","총계","A001","계","A_4","공학","2019 년","1525",
"00","총계","A001","계","A_4","공학","2020 년","1538",
"00","총계","A001","계","A_4","공학","2021 년","1549",
"00","총계","A001","계","A_4","공학","2022 년","1548",
"00","총계","A001","계","B_0","교직원수","2017 년","148228",
"00","총계","A001","계","B_0","교직원수","2018 년","147409",
"00","총계","A001","계","B_0","교직원수","2019 년","146122",
"00","총계","A001","계","B_1","교원수","2013 년","133414",
"00","총계","A001","계","B_1","교원수","2014 년","134488",
"00","총계","A001","계","B_1","교원수","2015 년","134999",
"00","총계","A001","계","B_1","교원수","2016 년","135427",
"00","총계","A001","계","B_1","교원수","2017 년","134754",
"00","총계","A001","계","B_1","교원수","2018 년","134227",
"00","총계","A001","계","B_1","교원수","2019 년","133127",
"00","총계","A001","계","B_1","교원수","2020 년","132104",
"00","총계","A001","계","B_1","교원수","2021 년","131120",
"00","총계","A001","계","B_1","교원수","2022 년","131086",
"00","총계","A001","계","B_2","여자","2013 년","64205",
"00","총계","A001","계","B_2","여자","2014 년","65745",
"00","총계","A001","계","B_2","여자","2015 년","67575",
"00","총계","A001","계","B_2","여자","2016 년","68788",
"00","총계","A001","계","B_2","여자","2017 년","69339",
