"소재지(시군구)별(1)","소재지(시군구)별(2)","항목",시점,데이터
"전국","소계","(부분)미집행결정면적 (㎡)",2013,31071514
"전국","소계","(부분)미집행결정면적 (㎡)",2014,33558956
"전국","소계","(부분)미집행결정면적 (㎡)",2015,34314647
"전국","소계","(부분)미집행결정면적 (㎡)",2016,32499821
"전국","소계","(부분)미집행결정면적 (㎡)",2017,32183479
"전국","소계","(부분)미집행결정면적 (㎡)",2018,26312824
"전국","소계","(부분)미집행결정면적 (㎡)",2019,22332053
"전국","소계","(부분)미집행결정면적 (㎡)",2020,15782744
"전국","소계","(부분)미집행결정면적 (㎡)",2021,12362795
"전국","소계","(부분)미집행결정면적 (㎡)",2022,11822629
"전국","소계","집행면적 (㎡)",2013,17014745
"전국","소계","집행면적 (㎡)",2014,19204245
"전국","소계","집행면적 (㎡)",2015,19318702
"전국","소계","집행면적 (㎡)",2016,19818473
"전국","소계","집행면적 (㎡)",2017,19731746
"전국","소계","집행면적 (㎡)",2018,15776018
"전국","소계","집행면적 (㎡)",2019,14154772
"전국","소계","집행면적 (㎡)",2020,8547612
"전국","소계","집행면적 (㎡)",2021,6589499
"전국","소계","집행면적 (㎡)",2022,6002316
"전국","소계","집행비율 (%)",2013,54.76
"전국","소계","집행비율 (%)",2014,57.23
"전국","소계","집행비율 (%)",2015,56.30
"전국","소계","집행비율 (%)",2016,60.98
"전국","소계","집행비율 (%)",2017,61.31
"전국","소계","집행비율 (%)",2018,59.96
"전국","소계","집행비율 (%)",2019,63.38
"전국","소계","집행비율 (%)",2020,54.16
"전국","소계","집행비율 (%)",2021,53.30
"전국","소계","집행비율 (%)",2022,50.77
"전국","소계","미집행면적 (㎡)",2013,14056769
"전국","소계","미집행면적 (㎡)",2014,14354711
"전국","소계","미집행면적 (㎡)",2015,14995945
"전국","소계","미집행면적 (㎡)",2016,12681348
"전국","소계","미집행면적 (㎡)",2017,12451733
"전국","소계","미집행면적 (㎡)",2018,10536806
"전국","소계","미집행면적 (㎡)",2019,8177281
"전국","소계","미집행면적 (㎡)",2020,7235132
"전국","소계","미집행면적 (㎡)",2021,5773296
"전국","소계","미집행면적 (㎡)",2022,5820313
"전국","소계","추정사업비계 (백만원)",2013,4097634
"전국","소계","추정사업비계 (백만원)",2014,4138040
"전국","소계","추정사업비계 (백만원)",2015,3866696
"전국","소계","추정사업비계 (백만원)",2016,3894873
"전국","소계","추정사업비계 (백만원)",2017,3685685
"전국","소계","추정사업비계 (백만원)",2018,3568718
"전국","소계","추정사업비계 (백만원)",2019,3832981
"전국","소계","추정사업비계 (백만원)",2020,3698645
"전국","소계","추정사업비계 (백만원)",2021,3051313
"전국","소계","추정사업비계 (백만원)",2022,2779546
"서울특별시","소계","(부분)미집행결정면적 (㎡)",2013,455732
"서울특별시","소계","(부분)미집행결정면적 (㎡)",2014,495846
"서울특별시","소계","(부분)미집행결정면적 (㎡)",2015,526394
"서울특별시","소계","(부분)미집행결정면적 (㎡)",2016,521672
"서울특별시","소계","(부분)미집행결정면적 (㎡)",2017,545860
