"시도별(1)","설립주체별(1)","유치원현황별(1)","유치원현황별(2)",시점,데이터
"총계","계","유치원수 (개)","소계",2013,8678
"총계","계","유치원수 (개)","소계",2014,8826
"총계","계","유치원수 (개)","소계",2015,8930
"총계","계","유치원수 (개)","소계",2016,8987
"총계","계","유치원수 (개)","소계",2017,9029
"총계","계","유치원수 (개)","소계",2018,9021
"총계","계","유치원수 (개)","소계",2019,8837
"총계","계","유치원수 (개)","소계",2020,8705
"총계","계","유치원수 (개)","소계",2021,8660
"총계","계","유치원수 (개)","소계",2022,8562
"총계","계","학급수 (개)","소계",2013,30597
"총계","계","학급수 (개)","소계",2014,33041
"총계","계","학급수 (개)","소계",2015,34075
"총계","계","학급수 (개)","소계",2016,35790
"총계","계","학급수 (개)","소계",2017,36470
"총계","계","학급수 (개)","소계",2018,37748
"총계","계","학급수 (개)","소계",2019,37268
"총계","계","학급수 (개)","소계",2020,36634
"총계","계","학급수 (개)","소계",2021,33381
"총계","계","학급수 (개)","소계",2022,33173
"총계","계","원아수 (명)","소계",2013,658188
"총계","계","원아수 (명)","소계",2014,652546
"총계","계","원아수 (명)","소계",2015,682553
"총계","계","원아수 (명)","소계",2016,704138
"총계","계","원아수 (명)","소계",2017,694631
"총계","계","원아수 (명)","소계",2018,675998
"총계","계","원아수 (명)","소계",2019,633913
"총계","계","원아수 (명)","소계",2020,612538
"총계","계","원아수 (명)","소계",2021,582572
"총계","계","원아수 (명)","소계",2022,552812
"총계","계","원아수 (명)","여자",2013,320647
"총계","계","원아수 (명)","여자",2014,318150
"총계","계","원아수 (명)","여자",2015,333072
"총계","계","원아수 (명)","여자",2016,345177
"총계","계","원아수 (명)","여자",2017,342070
"총계","계","원아수 (명)","여자",2018,333501
"총계","계","원아수 (명)","여자",2019,313065
"총계","계","원아수 (명)","여자",2020,302177
"총계","계","원아수 (명)","여자",2021,287693
"총계","계","원아수 (명)","여자",2022,272713
"총계","계","교원수 (명)","소계",2013,46126
"총계","계","교원수 (명)","소계",2014,48530
"총계","계","교원수 (명)","소계",2015,50998
"총계","계","교원수 (명)","소계",2016,52923
"총계","계","교원수 (명)","소계",2017,53808
"총계","계","교원수 (명)","소계",2018,54892
"총계","계","교원수 (명)","소계",2019,53362
"총계","계","교원수 (명)","소계",2020,53651
"총계","계","교원수 (명)","소계",2021,53457
"총계","계","교원수 (명)","소계",2022,53696
"총계","계","교원수 (명)","여자",2013,45373
"총계","계","교원수 (명)","여자",2014,47599
"총계","계","교원수 (명)","여자",2015,50145
"총계","계","교원수 (명)","여자",2016,52047
"총계","계","교원수 (명)","여자",2017,52922
"총계","계","교원수 (명)","여자",2018,53951
"총계","계","교원수 (명)","여자",2019,52490
"총계","계","교원수 (명)","여자",2020,52770
"총계","계","교원수 (명)","여자",2021,52558
"총계","계","교원수 (명)","여자",2022,52785
"총계","계","직원수 (명)","소계",2013,8728
"총계","계","직원수 (명)","소계",2014,4123
"총계","계","직원수 (명)","소계",2015,4925
"총계","계","직원수 (명)","소계",2016,5637
"총계","계","직원수 (명)","소계",2017,7929
"총계","계","직원수 (명)","소계",2018,6423
"총계","계","직원수 (명)","소계",2019,5252
"총계","계","직원수 (명)","소계",2020,5036
"총계","계","직원수 (명)","소계",2021,4848
"총계","계","직원수 (명)","소계",2022,4864
"총계","계","직원수 (명)","여자",2013,5559
"총계","계","직원수 (명)","여자",2014,2573
"총계","계","직원수 (명)","여자",2015,3185
"총계","계","직원수 (명)","여자",2016,3616
"총계","계","직원수 (명)","여자",2017,5276
"총계","계","직원수 (명)","여자",2018,3984
"총계","계","직원수 (명)","여자",2019,3116
"총계","계","직원수 (명)","여자",2020,2945
"총계","계","직원수 (명)","여자",2021,2762
"총계","계","직원수 (명)","여자",2022,2824
"총계","계","신입원아수 (명)","소계",2013,323993
"총계","계","신입원아수 (명)","소계",2014,313673
"총계","계","신입원아수 (명)","소계",2015,332248
"총계","계","신입원아수 (명)","소계",2016,325099
"총계","계","신입원아수 (명)","소계",2017,308648
"총계","계","신입원아수 (명)","소계",2018,300596
"총계","계","신입원아수 (명)","소계",2019,288214
"총계","계","신입원아수 (명)","소계",2020,276338
"총계","계","신입원아수 (명)","소계",2021,254979
"총계","계","신입원아수 (명)","소계",2022,243721
"총계","계","신입원아수 (명)","여자",2013,157329
"총계","계","신입원아수 (명)","여자",2014,153651
"총계","계","신입원아수 (명)","여자",2015,160367
"총계","계","신입원아수 (명)","여자",2016,159975
"총계","계","신입원아수 (명)","여자",2017,151853
"총계","계","신입원아수 (명)","여자",2018,148157
"총계","계","신입원아수 (명)","여자",2019,142317
"총계","계","신입원아수 (명)","여자",2020,136070
