"[STCODE_11]시도별","시도별","[STCODE_12]설립주체별","설립주체별","[STCODE_13]학교현황별","학교현황별","시점","중학교 개황",
"00","총계","A001","계","A_1","학교수","2013 년","3173",
"00","총계","A001","계","A_1","학교수","2014 년","3186",
"00","총계","A001","계","A_1","학교수","2015 년","3204",
"00","총계","A001","계","A_1","학교수","2016 년","3209",
"00","총계","A001","계","A_1","학교수","2017 년","3213",
"00","총계","A001","계","A_1","학교수","2018 년","3214",
"00","총계","A001","계","A_1","학교수","2019 년","3214",
"00","총계","A001","계","A_1","학교수","2020 년","3223",
"00","총계","A001","계","A_1","학교수","2021 년","3245",
"00","총계","A001","계","A_1","학교수","2022 년","3258",
"00","총계","A001","계","A_2","남자","2013 년","405",
"00","총계","A001","계","A_2","남자","2014 년","400",
"00","총계","A001","계","A_2","남자","2015 년","398",
"00","총계","A001","계","A_2","남자","2016 년","393",
"00","총계","A001","계","A_2","남자","2017 년","391",
"00","총계","A001","계","A_2","남자","2018 년","387",
"00","총계","A001","계","A_2","남자","2019 년","374",
"00","총계","A001","계","A_2","남자","2020 년","368",
"00","총계","A001","계","A_2","남자","2021 년","362",
"00","총계","A001","계","A_2","남자","2022 년","348",
"00","총계","A001","계","A_3","여자","2013 년","364",
"00","총계","A001","계","A_3","여자","2014 년","356",
"00","총계","A001","계","A_3","여자","2015 년","356",
"00","총계","A001","계","A_3","여자","2016 년","354",
"00","총계","A001","계","A_3","여자","2017 년","350",
"00","총계","A001","계","A_3","여자","2018 년","350",
"00","총계","A001","계","A_3","여자","2019 년","340",
"00","총계","A001","계","A_3","여자","2020 년","338",
"00","총계","A001","계","A_3","여자","2021 년","334",
"00","총계","A001","계","A_3","여자","2022 년","325",
"00","총계","A001","계","A_4","공학","2013 년","2404",
"00","총계","A001","계","A_4","공학","2014 년","2430",
"00","총계","A001","계","A_4","공학","2015 년","2450",
"00","총계","A001","계","A_4","공학","2016 년","2462",
"00","총계","A001","계","A_4","공학","2017 년","2472",
"00","총계","A001","계","A_4","공학","2018 년","2477",
"00","총계","A001","계","A_4","공학","2019 년","2500",
"00","총계","A001","계","A_4","공학","2020 년","2517",
"00","총계","A001","계","A_4","공학","2021 년","2549",
"00","총계","A001","계","A_4","공학","2022 년","2585",
"00","총계","A001","계","B_0","교직원수","2017 년","120314",
"00","총계","A001","계","B_0","교직원수","2018 년","120819",
"00","총계","A001","계","B_0","교직원수","2019 년","121239",
"00","총계","A001","계","B_1","교원수","2013 년","112690",
"00","총계","A001","계","B_1","교원수","2014 년","113349",
"00","총계","A001","계","B_1","교원수","2015 년","111247",
"00","총계","A001","계","B_1","교원수","2016 년","109525",
"00","총계","A001","계","B_1","교원수","2017 년","109130",
"00","총계","A001","계","B_1","교원수","2018 년","109906",
"00","총계","A001","계","B_1","교원수","2019 년","110556",
"00","총계","A001","계","B_1","교원수","2020 년","111894",
"00","총계","A001","계","B_1","교원수","2021 년","113238",
"00","총계","A001","계","B_1","교원수","2022 년","115673",
"00","총계","A001","계","B_2","여자","2013 년","76116",
"00","총계","A001","계","B_2","여자","2014 년","77008",
"00","총계","A001","계","B_2","여자","2015 년","76298",
"00","총계","A001","계","B_2","여자","2016 년","75375",
"00","총계","A001","계","B_2","여자","2017 년","75616",
"00","총계","A001","계","B_2","여자","2018 년","76615",
"00","총계","A001","계","B_2","여자","2019 년","77535",
"00","총계","A001","계","B_2","여자","2020 년","78844",
"00","총계","A001","계","B_2","여자","2021 년","80427",
"00","총계","A001","계","B_2","여자","2022 년","82846",
"00","총계","A001","계","C_1","직원수","2013 년","11870",
"00","총계","A001","계","C_1","직원수","2014 년","11905",
"00","총계","A001","계","C_1","직원수","2015 년","11619",
"00","총계","A001","계","C_1","직원수","2016 년","11413",
"00","총계","A001","계","C_1","직원수","2017 년","11184",
"00","총계","A001","계","C_1","직원수","2018 년","10913",
"00","총계","A001","계","C_1","직원수","2019 년","10683",
"00","총계","A001","계","C_1","직원수","2020 년","10650",
"00","총계","A001","계","C_1","직원수","2021 년","10721",
"00","총계","A001","계","C_1","직원수","2022 년","10739",
"00","총계","A001","계","C_2","여자","2013 년","4946",
"00","총계","A001","계","C_2","여자","2014 년","5056",
"00","총계","A001","계","C_2","여자","2015 년","5075",
"00","총계","A001","계","C_2","여자","2016 년","5158",
"00","총계","A001","계","C_2","여자","2017 년","5119",
"00","총계","A001","계","C_2","여자","2018 년","5192",
"00","총계","A001","계","C_2","여자","2019 년","5272",
"00","총계","A001","계","C_2","여자","2020 년","5463",
"00","총계","A001","계","C_2","여자","2021 년","5718",
"00","총계","A001","계","C_2","여자","2022 년","5852",
"00","총계","A001","계","D_1","입학자수","2013 년","610898",
"00","총계","A001","계","D_1","입학자수","2014 년","528611",
"00","총계","A001","계","D_1","입학자수","2015 년","466948",
"00","총계","A001","계","D_1","입학자수","2016 년","470697",
"00","총계","A001","계","D_1","입학자수","2017 년","452216",
"00","총계","A001","계","D_1","입학자수","2018 년","416838",
"00","총계","A001","계","D_1","입학자수","2019 년","431079",
"00","총계","A001","계","D_1","입학자수","2020 년","473234",
"00","총계","A001","계","D_1","입학자수","2021 년","449053",
"00","총계","A001","계","D_1","입학자수","2022 년","429920",
"00","총계","A001","계","D_2","여자","2013 년","290917",
"00","총계","A001","계","D_2","여자","2014 년","252663",
"00","총계","A001","계","D_2","여자","2015 년","222633",
"00","총계","A001","계","D_2","여자","2016 년","225568",
"00","총계","A001","계","D_2","여자","2017 년","217360",
"00","총계","A001","계","D_2","여자","2018 년","200498",
"00","총계","A001","계","D_2","여자","2019 년","207980",
"00","총계","A001","계","D_2","여자","2020 년","229626",
"00","총계","A001","계","D_2","여자","2021 년","217813",
"00","총계","A001","계","D_2","여자","2022 년","208419",
"00","총계","A001","계","E_1","졸업자수","2013 년","635827",
"00","총계","A001","계","E_1","졸업자수","2014 년","606494",
"00","총계","A001","계","E_1","졸업자수","2015 년","587834",
"00","총계","A001","계","E_1","졸업자수","2016 년","593614",
"00","총계","A001","계","E_1","졸업자수","2017 년","522987",
"00","총계","A001","계","E_1","졸업자수","2018 년","457771",
"00","총계","A001","계","E_1","졸업자수","2019 년","464717",
"00","총계","A001","계","E_1","졸업자수","2020 년","445526",
"00","총계","A001","계","E_1","졸업자수","2021 년","412562",
"00","총계","A001","계","E_1","졸업자수","2022 년","427340",
"00","총계","A001","계","E_2","여자","2013 년","305320",
"00","총계","A001","계","E_2","여자","2014 년","288829",
"00","총계","A001","계","E_2","여자","2015 년","280469",
"00","총계","A001","계","E_2","여자","2016 년","282500",
"00","총계","A001","계","E_2","여자","2017 년","250090",
"00","총계","A001","계","E_2","여자","2018 년","217878",
"00","총계","A001","계","E_2","여자","2019 년","222488",
"00","총계","A001","계","E_2","여자","2020 년","213968",
"00","총계","A001","계","E_2","여자","2021 년","198343",
"00","총계","A001","계","E_2","여자","2022 년","206100",
"00","총계","A001","계","F_3","교실수","2015 년","86222",
"00","총계","A001","계","F_3","교실수","2016 년","85692",
"00","총계","A001","계","F_3","교실수","2017 년","85759",
"00","총계","A001","계","F_3","교실수","2018 년","85343",
"00","총계","A001","계","F_3","교실수","2019 년","85004",
"00","총계","A001","계","F_3","교실수","2020 년","85476",
"00","총계","A001","계","F_3","교실수","2021 년","86305",
"00","총계","A001","계","F_3","교실수","2022 년","86865",
"00","총계","A001","계","F_1","정규교실","2013 년","58987",
"00","총계","A001","계","F_1","정규교실","2014 년","58665",
"00","총계","A001","계","F_2","가·대용교실","2013 년","245",
"00","총계","A001","계","F_2","가·대용교실","2014 년","242",
"00","총계","A001","계","F_4","일반교실","2015 년","52246",
"00","총계","A001","계","F_4","일반교실","2016 년","51367",
