"시도별(1)","설립주체별(1)","학교현황별(1)","학교현황별(2)",시점,데이터
"총계","계","학교수 (개)","소계",2013,5913
"총계","계","학교수 (개)","소계",2014,5934
"총계","계","학교수 (개)","소계",2015,5978
"총계","계","학교수 (개)","소계",2016,6001
"총계","계","학교수 (개)","소계",2017,6040
"총계","계","학교수 (개)","소계",2018,6064
"총계","계","학교수 (개)","소계",2019,6087
"총계","계","학교수 (개)","소계",2020,6120
"총계","계","학교수 (개)","소계",2021,6157
"총계","계","학교수 (개)","소계",2022,6163
"총계","계","학급수 (개)","소계",2013,119896
"총계","계","학급수 (개)","소계",2014,119894
"총계","계","학급수 (개)","소계",2015,120063
"총계","계","학급수 (개)","소계",2016,119547
"총계","계","학급수 (개)","소계",2017,120152
"총계","계","학급수 (개)","소계",2018,121818
"총계","계","학급수 (개)","소계",2019,123761
"총계","계","학급수 (개)","소계",2020,123517
"총계","계","학급수 (개)","소계",2021,124047
"총계","계","학급수 (개)","소계",2022,126502
"총계","계","학생수 (명)","소계",2013,2784000
"총계","계","학생수 (명)","소계",2014,2728509
"총계","계","학생수 (명)","소계",2015,2714610
"총계","계","학생수 (명)","소계",2016,2672843
"총계","계","학생수 (명)","소계",2017,2674227
"총계","계","학생수 (명)","소계",2018,2711385
"총계","계","학생수 (명)","소계",2019,2747219
"총계","계","학생수 (명)","소계",2020,2693716
"총계","계","학생수 (명)","소계",2021,2672340
"총계","계","학생수 (명)","소계",2022,2664278
"총계","계","학생수 (명)","여자",2013,1335941
"총계","계","학생수 (명)","여자",2014,1312526
"총계","계","학생수 (명)","여자",2015,1310066
"총계","계","학생수 (명)","여자",2016,1292430
"총계","계","학생수 (명)","여자",2017,1294670
"총계","계","학생수 (명)","여자",2018,1315080
"총계","계","학생수 (명)","여자",2019,1334340
"총계","계","학생수 (명)","여자",2020,1309376
"총계","계","학생수 (명)","여자",2021,1300128
"총계","계","학생수 (명)","여자",2022,1298067
"총계","계","교원수 (명)","소계",2013,181585
"총계","계","교원수 (명)","소계",2014,182672
"총계","계","교원수 (명)","소계",2015,182658
"총계","계","교원수 (명)","소계",2016,183452
"총계","계","교원수 (명)","소계",2017,184358
"총계","계","교원수 (명)","소계",2018,186684
"총계","계","교원수 (명)","소계",2019,188582
"총계","계","교원수 (명)","소계",2020,189286
"총계","계","교원수 (명)","소계",2021,191224
"총계","계","교원수 (명)","소계",2022,195037
"총계","계","교원수 (명)","여자",2013,139023
"총계","계","교원수 (명)","여자",2014,140176
"총계","계","교원수 (명)","여자",2015,140516
"총계","계","교원수 (명)","여자",2016,141248
"총계","계","교원수 (명)","여자",2017,142064
"총계","계","교원수 (명)","여자",2018,144055
"총계","계","교원수 (명)","여자",2019,145412
"총계","계","교원수 (명)","여자",2020,145943
"총계","계","교원수 (명)","여자",2021,147483
"총계","계","교원수 (명)","여자",2022,150487
"총계","계","직원수 (명)","소계",2013,25265
"총계","계","직원수 (명)","소계",2014,25725
"총계","계","직원수 (명)","소계",2015,25472
"총계","계","직원수 (명)","소계",2016,24992
"총계","계","직원수 (명)","소계",2017,24529
"총계","계","직원수 (명)","소계",2018,24225
"총계","계","직원수 (명)","소계",2019,23967
"총계","계","직원수 (명)","소계",2020,23941
"총계","계","직원수 (명)","소계",2021,23768
"총계","계","직원수 (명)","소계",2022,23802
"총계","계","직원수 (명)","여자",2013,12946
"총계","계","직원수 (명)","여자",2014,13351
"총계","계","직원수 (명)","여자",2015,13549
"총계","계","직원수 (명)","여자",2016,13526
"총계","계","직원수 (명)","여자",2017,13673
"총계","계","직원수 (명)","여자",2018,13719
"총계","계","직원수 (명)","여자",2019,13930
"총계","계","직원수 (명)","여자",2020,14388
"총계","계","직원수 (명)","여자",2021,14587
"총계","계","직원수 (명)","여자",2022,14709
"총계","계","입학자수 (명)","소계",2013,436621
"총계","계","입학자수 (명)","소계",2014,479304
"총계","계","입학자수 (명)","소계",2015,455679
"총계","계","입학자수 (명)","소계",2016,435220
"총계","계","입학자수 (명)","소계",2017,459105
"총계","계","입학자수 (명)","소계",2018,462818
"총계","계","입학자수 (명)","소계",2019,473787
"총계","계","입학자수 (명)","소계",2020,426646
"총계","계","입학자수 (명)","소계",2021,428405
"총계","계","입학자수 (명)","소계",2022,431509
"총계","계","입학자수 (명)","여자",2013,210958
"총계","계","입학자수 (명)","여자",2014,232728
"총계","계","입학자수 (명)","여자",2015,221076
"총계","계","입학자수 (명)","여자",2016,211125
"총계","계","입학자수 (명)","여자",2017,222335
"총계","계","입학자수 (명)","여자",2018,225411
"총계","계","입학자수 (명)","여자",2019,230900
"총계","계","입학자수 (명)","여자",2020,208225
"총계","계","입학자수 (명)","여자",2021,209000
"총계","계","입학자수 (명)","여자",2022,210488
"총계","계","졸업자수 (명)","소계",2013,602343
"총계","계","졸업자수 (명)","소계",2014,530819
"총계","계","졸업자수 (명)","소계",2015,464835
"총계","계","졸업자수 (명)","소계",2016,472641
"총계","계","졸업자수 (명)","소계",2017,454007
"총계","계","졸업자수 (명)","소계",2018,418522
"총계","계","졸업자수 (명)","소계",2019,432909
"총계","계","졸업자수 (명)","소계",2020,474778
"총계","계","졸업자수 (명)","소계",2021,450931
"총계","계","졸업자수 (명)","소계",2022,431813
"총계","계","졸업자수 (명)","여자",2013,286987
"총계","계","졸업자수 (명)","여자",2014,254038
"총계","계","졸업자수 (명)","여자",2015,221583
"총계","계","졸업자수 (명)","여자",2016,226733
"총계","계","졸업자수 (명)","여자",2017,218434
"총계","계","졸업자수 (명)","여자",2018,201601
"총계","계","졸업자수 (명)","여자",2019,209165
"총계","계","졸업자수 (명)","여자",2020,230593
"총계","계","졸업자수 (명)","여자",2021,218928
"총계","계","졸업자수 (명)","여자",2022,209504
"총계","계","교실수 (개)","소계",2013,126287
"총계","계","교실수 (개)","소계",2014,127461
"총계","계","교실수 (개)","소계",2015,164017
"총계","계","교실수 (개)","소계",2016,165571
"총계","계","교실수 (개)","소계",2017,167900
"총계","계","교실수 (개)","소계",2018,170474
"총계","계","교실수 (개)","소계",2019,173015
"총계","계","교실수 (개)","소계",2020,174372
"총계","계","교실수 (개)","소계",2021,175717
"총계","계","교실수 (개)","소계",2022,177172
"총계","계","교실수 (개)","정규교실",2013,125653
"총계","계","교실수 (개)","정규교실",2014,126835
"총계","계","교실수 (개)","가·대용교실",2013,634
"총계","계","교실수 (개)","가·대용교실",2014,626
"총계","계","교실수 (개)","일반교실",2015,125849
"총계","계","교실수 (개)","일반교실",2016,126777
"총계","계","교실수 (개)","일반교실",2017,128688
"총계","계","교실수 (개)","일반교실",2018,131034
"총계","계","교실수 (개)","일반교실",2019,133432
"총계","계","교실수 (개)","일반교실",2020,134603
"총계","계","교실수 (개)","일반교실",2021,136116
"총계","계","교실수 (개)","일반교실",2022,138089
"총계","계","교실수 (개)","교과교실",2015,7343
"총계","계","교실수 (개)","교과교실",2016,7294
"총계","계","교실수 (개)","교과교실",2017,7512
"총계","계","교실수 (개)","교과교실",2018,7786
"총계","계","교실수 (개)","교과교실",2019,7850
"총계","계","교실수 (개)","교과교실",2020,7966
"총계","계","교실수 (개)","교과교실",2021,8123
"총계","계","교실수 (개)","교과교실",2022,8148
"총계","계","교실수 (개)","특별교실",2015,29211
"총계","계","교실수 (개)","특별교실",2016,29906
"총계","계","교실수 (개)","특별교실",2017,30183
"총계","계","교실수 (개)","특별교실",2018,30077
"총계","계","교실수 (개)","특별교실",2019,30203
"총계","계","교실수 (개)","특별교실",2020,30314
"총계","계","교실수 (개)","특별교실",2021,30087
"총계","계","교실수 (개)","특별교실",2022,29603
"총계","계","교실수 (개)","수준별교실",2015,1614
"총계","계","교실수 (개)","수준별교실",2016,1594
"총계","계","교실수 (개)","수준별교실",2017,1517
"총계","계","교실수 (개)","수준별교실",2018,1577
"총계","계","교실수 (개)","수준별교실",2019,1530
"총계","계","교실수 (개)","수준별교실",2020,1489
"총계","계","교실수 (개)","수준별교실",2021,1391
"총계","계","교실수 (개)","수준별교실",2022,1332
"총계","국립","학교수 (개)","소계",2013,17
"총계","국립","학교수 (개)","소계",2014,17
"총계","국립","학교수 (개)","소계",2015,17
"총계","국립","학교수 (개)","소계",2016,17
"총계","국립","학교수 (개)","소계",2017,17
"총계","국립","학교수 (개)","소계",2018,17
"총계","국립","학교수 (개)","소계",2019,17
"총계","국립","학교수 (개)","소계",2020,17
"총계","국립","학교수 (개)","소계",2021,17
"총계","국립","학교수 (개)","소계",2022,17
"총계","국립","학급수 (개)","소계",2013,387
"총계","국립","학급수 (개)","소계",2014,386
"총계","국립","학급수 (개)","소계",2015,387
"총계","국립","학급수 (개)","소계",2016,387
"총계","국립","학급수 (개)","소계",2017,385
"총계","국립","학급수 (개)","소계",2018,387
"총계","국립","학급수 (개)","소계",2019,387
"총계","국립","학급수 (개)","소계",2020,387
"총계","국립","학급수 (개)","소계",2021,386
"총계","국립","학급수 (개)","소계",2022,386
"총계","국립","학생수 (명)","소계",2013,9798
"총계","국립","학생수 (명)","소계",2014,9580
"총계","국립","학생수 (명)","소계",2015,9347
"총계","국립","학생수 (명)","소계",2016,9170
"총계","국립","학생수 (명)","소계",2017,8978
"총계","국립","학생수 (명)","소계",2018,8862
"총계","국립","학생수 (명)","소계",2019,8783
"총계","국립","학생수 (명)","소계",2020,8697
"총계","국립","학생수 (명)","소계",2021,8557
"총계","국립","학생수 (명)","소계",2022,8369
"총계","국립","학생수 (명)","여자",2013,4897
"총계","국립","학생수 (명)","여자",2014,4808
"총계","국립","학생수 (명)","여자",2015,4670
"총계","국립","학생수 (명)","여자",2016,4565
"총계","국립","학생수 (명)","여자",2017,4486
"총계","국립","학생수 (명)","여자",2018,4414
"총계","국립","학생수 (명)","여자",2019,4393
"총계","국립","학생수 (명)","여자",2020,4339
"총계","국립","학생수 (명)","여자",2021,4290
"총계","국립","학생수 (명)","여자",2022,4206
"총계","국립","교원수 (명)","소계",2013,512
"총계","국립","교원수 (명)","소계",2014,514
"총계","국립","교원수 (명)","소계",2015,515
"총계","국립","교원수 (명)","소계",2016,513
"총계","국립","교원수 (명)","소계",2017,517
"총계","국립","교원수 (명)","소계",2018,519
"총계","국립","교원수 (명)","소계",2019,525
"총계","국립","교원수 (명)","소계",2020,524
"총계","국립","교원수 (명)","소계",2021,527
"총계","국립","교원수 (명)","소계",2022,524
"총계","국립","교원수 (명)","여자",2013,247
"총계","국립","교원수 (명)","여자",2014,243
"총계","국립","교원수 (명)","여자",2015,242
"총계","국립","교원수 (명)","여자",2016,246
"총계","국립","교원수 (명)","여자",2017,248
"총계","국립","교원수 (명)","여자",2018,246
"총계","국립","교원수 (명)","여자",2019,263
"총계","국립","교원수 (명)","여자",2020,255
"총계","국립","교원수 (명)","여자",2021,254
"총계","국립","교원수 (명)","여자",2022,243
"총계","국립","직원수 (명)","소계",2013,40
"총계","국립","직원수 (명)","소계",2014,40
"총계","국립","직원수 (명)","소계",2015,37
"총계","국립","직원수 (명)","소계",2016,32
"총계","국립","직원수 (명)","소계",2017,34
"총계","국립","직원수 (명)","소계",2018,34
"총계","국립","직원수 (명)","소계",2019,35
"총계","국립","직원수 (명)","소계",2020,35
"총계","국립","직원수 (명)","소계",2021,38
"총계","국립","직원수 (명)","소계",2022,38
"총계","국립","직원수 (명)","여자",2013,15
"총계","국립","직원수 (명)","여자",2014,12
