"시도별(1)","설립주체별(1)",2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"시도별(1)","설립주체별(1)",유치원수 (개),학급수 (개),원아수 (명),원아수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),신입원아수 (명),신입원아수 (명),재취원아수 (명),재취원아수 (명),졸업원아수 (명),졸업원아수 (명),교실수 (개),교실수 (개),교실수 (개),유치원수 (개),학급수 (개),원아수 (명),원아수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),신입원아수 (명),신입원아수 (명),재취원아수 (명),재취원아수 (명),졸업원아수 (명),졸업원아수 (명),교실수 (개),교실수 (개),교실수 (개),유치원수 (개),학급수 (개),원아수 (명),원아수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),신입원아수 (명),신입원아수 (명),재취원아수 (명),재취원아수 (명),졸업원아수 (명),졸업원아수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개),유치원수 (개),학급수 (개),원아수 (명),원아수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),신입원아수 (명),신입원아수 (명),재취원아수 (명),재취원아수 (명),졸업원아수 (명),졸업원아수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개),유치원수 (개),학급수 (개),원아수 (명),원아수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),신입원아수 (명),신입원아수 (명),재취원아수 (명),재취원아수 (명),졸업원아수 (명),졸업원아수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개),유치원수 (개),학급수 (개),원아수 (명),원아수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),신입원아수 (명),신입원아수 (명),재취원아수 (명),재취원아수 (명),졸업원아수 (명),졸업원아수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개),유치원수 (개),학급수 (개),원아수 (명),원아수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),신입원아수 (명),신입원아수 (명),재취원아수 (명),재취원아수 (명),졸업원아수 (명),졸업원아수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개),유치원수 (개),학급수 (개),원아수 (명),원아수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),신입원아수 (명),신입원아수 (명),졸업원아수 (명),졸업원아수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개),유치원수 (개),학급수 (개),원아수 (명),원아수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),신입원아수 (명),신입원아수 (명),졸업원아수 (명),졸업원아수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개),유치원수 (개),학급수 (개),원아수 (명),원아수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),신입원아수 (명),신입원아수 (명),졸업원아수 (명),졸업원아수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개)
"시도별(1)","설립주체별(1)",소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,정규교실,가·대용교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,정규교실,가·대용교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실
"총계","계",8678,30597,658188,320647,46126,45373,8728,5559,323993,157329,333841,162960,522581,255059,26534,25886,648,8826,33041,652546,318150,48530,47599,4123,2573,313673,153651,337975,164399,532212,258997,28246,27572,674,8930,34075,682553,333072,50998,50145,4925,3185,332248,160367,352449,172332,474302,230763,31608,28682,733,2004,189,8987,35790,704138,345177,52923,52047,5637,3616,325099,159975,379395,186051,283440,137419,33392,30281,767,2162,182,9029,36470,694631,342070,53808,52922,7929,5276,308648,151853,391932,195647,280094,135675,34748,31737,554,2303,154,9021,37748,675998,333501,54892,53951,6423,3984,300596,148157,375285,184973,277280,135603,32724,30216,392,1982,134,8837,37268,633913,313065,53362,52490,5252,3116,288214,142317,345314,170751,270131,132195,31831,29342,383,1981,125,8705,36634,612538,302177,53651,52770,5036,2945,276338,136070,242349,119061,30894,28529,334,1912,119,8660,33381,582572,287693,53457,52558,4848,2762,254979,125659,225555,110546,30311,27992,319,1886,114,8562,33173,552812,272713,53696,52785,4864,2824,243721,119767,236392,115866,29996,27645,313,1927,111
"총계","국립",3,15,225,101,23,23,4,3,125,53,100,46,183,90,10,10,-,3,15,258,122,20,20,2,1,147,70,111,53,223,97,14,14,-,3,15,256,121,21,20,2,1,129,62,126,57,206,96,17,15,-,2,-,3,15,258,137,21,19,2,2,134,61,130,76,108,51,21,19,-,2,-,3,15,249,133,21,20,2,2,154,83,129,67,114,58,21,19,-,2,-,3,15,249,131,22,22,5,3,129,62,120,69,113,57,20,19,0,1,0,3,17,275,138,29,29,4,2,161,80,115,59,113,59,23,21,0,2,0,3,17,273,134,29,29,3,3,120,56,120,64,23,21,-,2,-,3,17,264,128,25,25,2,1,121,58,107,50,23,21,-,2,-,3,17,255,127,25,24,6,4,104,51,105,51,23,21,-,2,-
"총계","공립",4574,8205,141827,68216,10974,10948,1762,1431,91490,43783,50380,24444,149401,72713,2212,2190,22,4616,8678,148011,71228,11911,11745,616,301,89687,43261,58417,28149,137815,66303,2612,2565,47,4675,9268,161083,77449,12598,12537,805,420,93718,44913,67144,32417,128697,61987,3508,3092,79,321,16,4693,9795,170091,81983,13391,13326,890,469,94040,45292,75878,36644,85665,41108,4525,3900,111,491,23,4744,10380,172272,83283,14162,14087,1054,585,94244,45567,78919,38360,88344,42198,5452,4687,119,626,20,4798,10881,172121,83523,15847,15738,1119,654,92438,44944,80473,39001,89121,42949,3400,3051,28,315,6,4856,11578,177055,86057,17305,17181,1179,699,99130,48576,78257,37883,88098,42532,3725,3333,36,349,7,4973,12440,178628,86842,19080,18921,1331,801,97087,47163,86069,41740,4252,3845,29,368,10,5058,12995,177097,86266,20279,20094,1477,900,97790,47568,83281,40258,4941,4464,37,426,14,5113,13449,167230,80866,21318,21114,1620,1018,88833,42950,86052,41690,5615,5052,44,504,15
"총계","사립",4101,22377,516136,252330,35129,34402,6962,4125,232378,113493,283361,138470,372997,182256,24312,23686,626,4207,24348,504277,246800,36599,35834,3505,2271,223839,110320,279447,136197,394174,192597,25620,24993,627,4252,24792,521214,255502,38379,37588,4118,2764,238401,115392,285179,139858,345399,168680,28083,25575,654,1681,173,4291,25980,533789,263057,39511,38702,4745,3145,230925,114622,303387,149331,197667,96260,28846,26362,656,1669,159,4282,26075,522110,258654,39625,38815,6873,4689,214250,106203,312884,157220,191636,93419,29275,27031,435,1675,134,4220,26852,503628,249847,39023,38191,5299,3327,208029,103151,294692,145903,188046,92597,29304,27146,364,1666,128,3978,25673,456583,226870,36028,35280,4069,2415,188923,93661,266942,132809,181920,89604,28083,25988,347,1630,118,3729,24177,433637,215201,34542,33820,3702,2141,179131,88851,156160,77257,26619,24663,305,1542,109,3599,20369,405211,201299,33153,32439,3369,1861,157068,78033,142167,70238,25347,23507,282,1458,100,3446,19707,385327,191720,32353,31647,3238,1802,154784,76766,150235,74125,24358,22572,269,1421,96
"서울특별시","계",869,3829,92400,45337,6657,6573,1680,1054,43523,21389,48941,24027,71490,34982,3828,3687,141,884,4170,91195,44676,6651,6575,591,390,42518,20790,48750,23882,73823,36002,3962,3818,144,888,4275,91394,44862,6903,6818,716,484,41574,20389,49680,24416,67383,32784,4151,3757,119,228,47,879,4319,91026,44843,7023,6941,680,456,39998,19835,50637,24890,35502,17387,4114,3730,117,222,45,880,4360,88987,44040,7092,7007,790,518,38407,18896,55497,29869,33997,16401,4132,3813,64,220,35,876,4365,85213,42190,6958,6877,737,461,36672,18103,48534,24106,32369,15880,4051,3753,52,218,28,830,4200,78009,38568,6530,6455,665,422,34754,17096,42894,21261,30910,15103,3794,3513,55,204,22,795,4102,74657,36701,6517,6435,665,422,34183,16684,27493,13535,3594,3320,50,201,23,787,3704,69958,34553,6391,6306,648,409,30239,14926,24624,12120,3482,3221,43,196,22,788,3704,66524,32686,6446,6352,637,407,29237,14277,26558,13056,3372,3132,37,185,18
"서울특별시","국립",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시","공립",169,552,12027,5856,765,764,127,113,7345,3517,4719,2359,10776,5294,83,82,1,185,633,13552,6563,825,821,32,13,7739,3702,5842,2848,11853,5790,135,127,8,197,710,15107,7340,901,895,48,18,7979,3875,7084,3414,12005,5780,145,141,-,3,1,202,749,15480,7561,946,940,64,30,7748,3758,7585,3733,7128,3405,146,143,-,3,-,209,788,15003,7346,994,988,65,36,7170,3472,7828,3858,6932,3334,146,143,-,3,-,226,845,15366,7462,1046,1036,67,41,7865,3800,7562,3663,6643,3254,148,144,0,4,0,236,915,15889,7765,1150,1140,82,51,8293,4100,7528,3638,6850,3300,174,163,5,6,0,256,1098,17193,8322,1399,1386,127,78,8864,4265,7122,3448,309,289,5,15,-,274,1193,16724,8068,1522,1507,138,87,8448,4083,6795,3315,331,312,5,14,-,293,1269,15971,7637,1636,1616,139,90,7677,3690,7353,3540,357,337,5,15,-
