"시도별","설립주체별","학교현황별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"총계","계","학교수","중학교 개황","개","3173","3186","3204","3209","3213","3214","3214","3223","3245","3258",
"총계","계","남자","중학교 개황","","405","400","398","393","391","387","374","368","362","348",
"총계","계","여자","중학교 개황","","364","356","356","354","350","350","340","338","334","325",
"총계","계","공학","중학교 개황","","2404","2430","2450","2462","2472","2477","2500","2517","2549","2585",
"총계","계","교직원수","중학교 개황","명","","","","","120314","120819","121239","","","",
"총계","계","교원수","중학교 개황","","112690","113349","111247","109525","109130","109906","110556","111894","113238","115673",
"총계","계","여자","중학교 개황","","76116","77008","76298","75375","75616","76615","77535","78844","80427","82846",
"총계","계","직원수","중학교 개황","","11870","11905","11619","11413","11184","10913","10683","10650","10721","10739",
"총계","계","여자","중학교 개황","","4946","5056","5075","5158","5119","5192","5272","5463","5718","5852",
"총계","계","입학자수","중학교 개황","명","610898","528611","466948","470697","452216","416838","431079","473234","449053","429920",
"총계","계","여자","중학교 개황","","290917","252663","222633","225568","217360","200498","207980","229626","217813","208419",
"총계","계","졸업자수","중학교 개황","명","635827","606494","587834","593614","522987","457771","464717","445526","412562","427340",
"총계","계","여자","중학교 개황","","305320","288829","280469","282500","250090","217878","222488","213968","198343","206100",
"총계","계","교실수","중학교 개황","개","","","86222","85692","85759","85343","85004","85476","86305","86865",
"총계","계","정규교실","중학교 개황","","58987","58665","","","","","","","","",
"총계","계","가·대용교실","중학교 개황","","245","242","","","","","","","","",
"총계","계","일반교실","중학교 개황","","","","52246","51367","51078","50680","50297","50862","52040","53163",
"총계","계","교과교실","중학교 개황","","","","10545","10866","11075","11196","11245","11265","10916","10262",
"총계","계","특별교실","중학교 개황","","","","21371","21561","21845","21889","22038","22045","22169","22324",
"총계","계","수준별교실","중학교 개황","","","","2060","1898","1761","1578","1424","1304","1180","1116",
"총계","계","학급수","중학교 개황","개","56843","56305","54855","53184","52294","51832","51534","52195","53053","53955",
"총계","계","1학년","중학교 개황","","18186","17197","16297","16754","16525","15857","16428","17378","16724","16676",
"총계","계","2학년","중학교 개황","","17981","18520","17399","16455","16880","16642","15982","16420","17414","16994",
"총계","계","3학년","중학교 개황","","18412","18239","18799","17627","16537","16974","16754","15932","16401","17682",
"총계","계","특수학급","중학교 개황","","2264","2349","2360","2348","2352","2359","2370","2465","2514","2603",
"총계","계","학생수","중학교 개황","명","1804189","1717911","1585951","1457490","1381334","1334288","1294559","1315846","1350770","1348428",
"총계","계","여자","중학교 개황","","859506","819331","756033","696393","661045","640686","623115","635421","654046","653883",
"총계","계","1학년","중학교 개황","","600658","528857","462990","470885","452231","416848","431245","473365","449537","430054",
"총계","계","여자","중학교 개황","","285796","252855","220455","225575","217336","200540","208015","229671","218002","208472",
