"시도별(1)","설립주체별(1)",2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"시도별(1)","설립주체별(1)",학교수 (개),학급수 (개),학생수 (명),학생수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),입학자수 (명),입학자수 (명),졸업자수 (명),졸업자수 (명),교실수 (개),교실수 (개),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),입학자수 (명),입학자수 (명),졸업자수 (명),졸업자수 (명),교실수 (개),교실수 (개),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),입학자수 (명),입학자수 (명),졸업자수 (명),졸업자수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),입학자수 (명),입학자수 (명),졸업자수 (명),졸업자수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),입학자수 (명),입학자수 (명),졸업자수 (명),졸업자수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),입학자수 (명),입학자수 (명),졸업자수 (명),졸업자수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),입학자수 (명),입학자수 (명),졸업자수 (명),졸업자수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),입학자수 (명),입학자수 (명),졸업자수 (명),졸업자수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),입학자수 (명),입학자수 (명),졸업자수 (명),졸업자수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),입학자수 (명),입학자수 (명),졸업자수 (명),졸업자수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개)
"시도별(1)","설립주체별(1)",소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,정규교실,가·대용교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,정규교실,가·대용교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실
"총계","계",5913,119896,2784000,1335941,181585,139023,25265,12946,436621,210958,602343,286987,126287,125653,634,5934,119894,2728509,1312526,182672,140176,25725,13351,479304,232728,530819,254038,127461,126835,626,5978,120063,2714610,1310066,182658,140516,25472,13549,455679,221076,464835,221583,164017,125849,7343,29211,1614,6001,119547,2672843,1292430,183452,141248,24992,13526,435220,211125,472641,226733,165571,126777,7294,29906,1594,6040,120152,2674227,1294670,184358,142064,24529,13673,459105,222335,454007,218434,167900,128688,7512,30183,1517,6064,121818,2711385,1315080,186684,144055,24225,13719,462818,225411,418522,201601,170474,131034,7786,30077,1577,6087,123761,2747219,1334340,188582,145412,23967,13930,473787,230900,432909,209165,173015,133432,7850,30203,1530,6120,123517,2693716,1309376,189286,145943,23941,14388,426646,208225,474778,230593,174372,134603,7966,30314,1489,6157,124047,2672340,1300128,191224,147483,23768,14587,428405,209000,450931,218928,175717,136116,8123,30087,1391,6163,126502,2664278,1298067,195037,150487,23802,14709,431509,210488,431813,209504,177172,138089,8148,29603,1332
"총계","국립",17,387,9798,4897,512,247,40,15,1509,759,1766,878,392,388,4,17,386,9580,4808,514,243,40,12,1498,752,1698,849,399,394,5,17,387,9347,4670,515,242,37,14,1475,720,1671,828,532,356,44,113,19,17,387,9170,4565,513,246,32,15,1483,738,1646,830,537,356,46,116,19,17,385,8978,4486,517,248,34,16,1472,751,1613,811,534,395,27,111,1,17,387,8862,4414,519,246,34,19,1431,716,1515,767,533,395,23,114,1,17,387,8783,4393,525,263,35,21,1429,718,1478,732,543,399,21,123,0,17,387,8697,4339,524,255,35,21,1409,700,1466,739,549,403,17,129,-,17,386,8557,4290,527,254,38,21,1355,674,1477,728,547,403,17,127,-,17,386,8369,4206,524,243,38,18,1309,646,1467,721,548,403,17,128,-
"총계","공립",5820,118082,2733287,1310908,179312,137788,24763,12761,428001,206651,593594,282666,124386,123762,624,5841,118086,2678752,1287863,180366,138935,25223,13177,470675,228467,522435,249946,125521,124905,616,5886,118267,2665762,1285831,180376,139278,24974,13368,447234,216972,456978,217723,160907,124057,7050,28341,1459,5909,117744,2624452,1268353,181164,139976,24519,13350,426792,206980,464806,222864,162432,125002,6965,29026,1439,5949,118354,2626405,1270916,182046,140781,24053,13492,450522,218081,446211,214557,164809,126865,7211,29329,1404,5973,120030,2664402,1291731,184402,142784,23764,13541,454697,221385,411014,197816,167355,129194,7494,29212,1455,5996,121978,2700467,1311081,186295,144114,23510,13747,465577,226859,425609,205467,169905,131582,7554,29361,1408,6029,121741,2647300,1286313,187006,144650,23503,14205,418437,204158,467524,226936,171235,132751,7678,29448,1358,6067,122269,2625459,1276833,188943,146193,23341,14406,420190,204888,443755,215352,172650,134300,7821,29233,1296,6073,124708,2616671,1274448,192722,149173,23371,14527,423361,206463,424846,206040,174109,136266,7854,28742,1247
"총계","사립",76,1427,40915,20136,1761,988,462,170,7111,3548,6983,3443,1509,1503,6,76,1422,40177,19855,1792,998,462,162,7131,3509,6686,3243,1541,1536,5,75,1409,39501,19565,1767,996,461,167,6970,3384,6186,3032,2578,1436,249,757,136,75,1416,39221,19512,1775,1026,441,161,6945,3407,6189,3039,2602,1419,283,764,136,74,1413,38844,19268,1795,1035,442,165,7111,3503,6183,3066,2557,1428,274,743,112,74,1401,38121,18935,1763,1025,427,159,6690,3310,5993,3018,2586,1445,269,751,121,74,1396,37969,18866,1762,1035,422,162,6781,3323,5822,2966,2567,1451,275,719,122,74,1389,37719,18724,1756,1038,403,162,6800,3367,5788,2918,2588,1449,271,737,131,73,1392,38324,19005,1754,1036,389,160,6860,3438,5699,2848,2520,1413,285,727,95,73,1408,39238,19413,1791,1071,393,164,6839,3379,5500,2743,2515,1420,277,733,85
"서울특별시","계",597,19149,469392,226687,29751,25466,3174,1674,74125,35914,102219,48878,20118,20085,33,599,18854,457517,221187,29613,25433,3240,1715,79656,38703,88172,42406,19790,19744,46,599,18780,450675,218247,29627,25577,3232,1732,75258,36517,78066,37626,24934,19176,1418,4045,295,601,18621,436121,211706,29448,25522,3176,1706,69944,34172,79123,38188,24989,19119,1492,4088,290,603,18625,428333,207869,29191,25321,3114,1733,72529,35323,75440,36538,25070,19180,1552,4059,279,603,18585,424800,206336,28992,25201,3025,1712,70686,34455,67742,32678,25042,19201,1553,4005,283,607,18690,422293,205477,28727,24983,3028,1773,72171,35221,69664,33622,25002,19220,1471,4023,288,607,18561,409536,199293,28608,24889,2962,1794,64898,31569,74375,36011,24968,19150,1475,4070,273,607,18396,399435,194753,28219,24559,2960,1836,63690,31126,70430,34075,24832,19041,1454,4087,250,609,18367,393565,191926,28335,24668,2989,1883,64013,31404,65432,31862,24919,19172,1451,4066,230
"서울특별시","국립",2,59,1359,671,77,39,6,3,196,98,257,127,59,59,-,2,59,1333,666,77,45,8,2,198,100,253,128,59,59,-,2,59,1330,656,78,54,6,2,201,98,250,125,72,61,1,10,-,2,59,1327,650,76,51,6,4,205,101,241,120,71,61,1,9,-,2,58,1282,635,80,47,6,4,198,102,236,117,71,61,1,9,-,2,59,1284,637,82,49,7,5,196,98,223,109,71,61,1,9,0,2,59,1248,628,84,53,5,4,198,99,230,111,77,61,2,14,0,2,59,1241,619,85,53,4,3,196,96,208,109,77,61,2,14,-,2,59,1232,612,86,49,4,3,195,97,222,114,77,61,2,14,-,2,59,1225,620,84,47,6,4,194,96,215,102,77,61,2,14,-
"서울특별시","공립",555,18262,444376,214328,28684,24837,2870,1557,69783,33744,98068,46820,19187,19159,28,557,17975,433086,209069,28525,24792,2932,1602,75423,36608,84102,40416,18837,18796,41,558,17911,426698,206307,28569,24942,2933,1618,71039,34431,74298,35762,23447,18306,1264,3648,229,560,17753,412404,199810,28380,24867,2886,1596,65782,32128,75411,36355,23485,18251,1318,3692,224,562,17760,405069,196219,28111,24665,2829,1621,68419,33288,71702,34668,23570,18310,1387,3658,215,562,17733,402366,195097,27942,24550,2748,1604,66789,32513,64125,30828,23531,18324,1384,3604,219,566,17845,400137,194325,27678,24326,2758,1664,68206,33266,66185,31831,23455,18323,1296,3613,223,566,17727,387628,188294,27562,24228,2710,1689,60891,29564,70999,34275,23421,18260,1299,3653,209,567,17561,377124,183587,27174,23901,2715,1731,59703,29135,67130,32389,23322,18175,1264,3679,204,569,17529,370770,180525,27279,24004,2740,1775,60071,29435,62232,30233,23414,18303,1276,3648,187
